ProposedIndex,IIHH,Shannon,Size,AssetTurnover,Debt,QuickRatio,CashHoldings,ROE,ROI,ROA
0.5956,1.2085,0.529,16.5365,0.69,0.13,1.9309,0.1413,0.1651,0.297,0.1341
0.5848,1.2001,0.5159,16.3182,0.86,0.14,1.7356,0.1628,0.2385,0.322,0.1891
0.5475,1.1566,0.4424,16.2753,1.12,0.09,2.9612,0.2799,0.396,0.7126,0.3195
0.4038,1.0887,0.176,14.5125,1.22,0.21,0.3625,0.0876,-0.0456,0.0033,-0.0215
0.5102,1.2293,0.334,14.6151,1.18,0.32,0.1743,0.0498,0.0879,0.0755,0.0465
0.3509,1.0177,0.0503,14.6042,1.31,1.27,0.1119,0.0308,-0.1051,-0.0205,-0.0442
0.8875,3.2544,1.3025,15.5192,1.33,0.37,0.0306,0.0273,-0.4859,0.0088,-0.0692
0.8683,2.938,1.1579,15.2509,1.44,1.75,0.0146,0.015,-0.0692,0.0241,-0.0175
0.838,2.7169,1.0888,15.2435,1.68,1.46,0.0388,0.0151,0.1654,0.1042,0.0379
0.7563,1.9339,0.7496,14.4222,0.73,0.52,0.2425,0.0927,0.0527,0.0409,0.0234
0.8571,2.2459,0.9176,14.5051,0.64,0.5,0.0601,0.0216,0.022,0.0519,0.0096
0.6999,1.7436,0.6557,14.5047,0.77,0.33,0.042,0.0205,0.0149,0.0798,0.0058
0.8854,1.4488,0.8793,17.5323,0.51,0.33,0.0594,0.0179,-0.0498,0.0088,-0.0263
0.5045,1.207,0.3301,17.4089,1.19,0.24,0.0487,0.0354,-0.1042,-0.0468,-0.061
0.3296,1.035,0.1517,17.0009,0.25,0.08,0.9272,0.1258,0.5087,0.0013,0.3332
0.5174,1.2537,0.4236,16.4734,0.51,0.62,0.6659,0.0648,0.0923,-0.0382,0.051
0.2994,1.0721,0.1511,16.4437,0.37,0.64,2.0396,0.19,0.0417,0.0165,0.024
0.6986,1.763,0.6609,17.0491,0.4,0.95,0.5008,0.057,0.0456,0.0456,0.022
1.323,4.2258,1.579,15.7801,0.1,0.33,0.4276,0.0406,-0.1207,0.0705,-0.0781
1.0708,2.8125,1.2008,15.6763,0.2,0.27,0.8901,0.1024,-0.0114,0.0714,-0.0073
0.9899,2.5903,1.0321,15.6274,0.21,0.28,0.4941,0.0934,0.0495,0.0556,0.0284
0.7114,1.9984,0.6927,19.3619,0.29,0.45,0.6498,0.2912,0.5345,0.0796,0.177
0.686,1.7608,0.6236,19.3329,0.38,0.47,0.6224,0.366,0.1472,0.0488,0.04
0.7113,1.8823,0.6615,19.3975,0.4,0.28,0.1764,0.1088,0.231,0.071,0.0656
0.8384,1.9737,0.8321,17.1756,0.65,0.89,0.7185,0.077,-0.0683,0.0705,-0.0282
1.1219,2.7164,1.1307,17.2933,0.54,0.79,0.4226,0.0394,0.036,0.0714,0.0173
1.09,2.9971,1.0981,17.817,0.46,0.96,0.3559,0.0488,0.0273,0.0556,0.0122
0.8617,2.1215,0.854,19.6459,0.77,0.17,0.6909,0.037,0.075,0.1129,0.0487
0.8854,2.2489,0.8929,19.8891,0.7,0.42,0.7226,0.0947,0.0723,0.0989,0.0445
1.2786,3.2668,1.352,20.1565,0.78,0.44,0.9231,0.1647,0.132,0.0952,0.0724
0.6138,2.8277,1.0691,16.1818,2.79,0.07,0.5557,0.1921,0.1314,0.2153,0.0752
0.6086,2.7111,1.0481,16.6311,2.19,0.03,0.1362,0.0588,0.126,0.2168,0.0685
0.5436,1.8629,0.7882,16.6114,2.19,0.02,0.163,0.0758,0.1229,0.2292,0.0655
0.6109,1.4997,0.5156,17.2727,0.2,0.09,2.2724,0.0976,0.1375,0.0945,0.1206
0.6386,1.6108,0.5669,17.1406,0.23,0.07,1.0084,0.0657,0.101,0.1221,0.0887
0.6366,1.6021,0.5632,17.0781,0.31,0.69,3.368,0.1956,0.2021,0.2008,0.1192
1.0529,2.6661,1.0742,18.3593,1.01,0.04,0.1827,0.0686,0.0845,0.1499,0.0512
0.9986,2.6179,1.0251,18.3734,0.9,0.13,0.6259,0.0825,0.0946,0.1337,0.0613
0.9771,2.5513,1.0151,18.5496,0.79,0.15,0.1662,0.0364,0.1275,0.1266,0.0851
0.9997,2.6644,1.094,17.1892,0.32,0.65,0.6429,0.0511,0.0073,0.0357,0.0038
0.9565,2.3745,0.9654,17.1383,0.41,0.59,0.6672,0.0541,0.0426,0.0535,0.024
0.7104,1.7639,0.6747,17.0396,0.45,0.9,1.2484,0.1198,0.0814,0.0903,0.0384
0.7442,2.5808,1.1341,17.4518,0.45,0.15,1.2365,0.1527,0.0145,0.0947,0.0111
0.6712,1.5557,0.6658,17.451,0.63,0.84,1.1792,0.1334,0.0768,0.113,0.0371
0.5961,1.4911,0.6196,17.3354,0.79,0.6,0.2997,0.0475,0.0656,0.0836,0.0334
0.8846,2.2826,0.9214,16.6071,1.02,0.58,0.5042,0.0879,0.123,0.0781,0.0562
0.919,2.4564,0.9731,16.6072,0.75,0.18,0.9366,0.1185,0.0475,0.0695,0.0336
0.8642,1.9249,0.8541,17.0968,0.63,0.53,0.2234,0.066,0.0904,0.0727,0.0403
0.8922,3.0474,1.3142,15.6201,0.53,0.67,0.1979,0.0447,0.055,0.0467,0.0255
1.3456,3.8259,1.6129,16.0261,0.29,1.02,0.2862,0.0461,-0.0189,0.0502,-0.0083
1.1147,2.4588,1.2666,16.0222,0.43,0.82,0.3471,0.0409,0.0216,0.097,0.0102
2.0541,8.0775,2.2826,19.5217,0.56,0.52,1.8938,0.1313,0.2078,0.3025,0.121
1.9736,7.6121,2.2115,19.5121,0.44,0.63,1.3542,0.116,0.1584,0.1959,0.0892
1.4194,7.2254,1.6247,19.4639,0.37,0.73,0.708,0.063,0.1158,0.1681,0.0612
0.1374,1.053,0.12,17.1422,0.82,0.41,0.2111,0.0833,0.0906,0.0856,0.0499
0.141,1.0462,0.1079,17.0998,0.8,0.37,0.1924,0.1327,0.0337,0.0402,0.0171
0.1404,1.0382,0.0931,17.0546,0.88,0.36,0.4386,0.1145,0.0868,0.0852,0.0467
0.8396,1.7899,0.854,17.8634,1.29,0.89,0.1202,0.0296,0.3668,0.0705,0.1235
0.5716,1.4448,0.4863,17.6569,1.23,0.76,0.1664,0.036,0.2591,0.1668,0.1009
0.4712,1.3318,0.4154,17.557,1.16,0.77,0.2185,0.0531,0.2328,0.1885,0.1028
0.4363,2.6069,1.1081,17.4711,1.26,0.08,,0.2855,0.3896,0.3808,0.1902
0.904,2.6118,1.1148,17.6581,1.01,0.04,,0.2732,0.1006,0.1347,0.0715
0.5949,2.7936,1.1728,17.6426,1.04,0.07,0.1473,0.0198,0.1207,0.142,0.0823
0.5627,1.3669,0.487,16.2926,1.04,0.68,0.9366,0.1241,0.1652,0.1439,0.0887
0.5992,1.3573,0.5214,17.0973,0.62,0.54,0.8326,0.1051,0.0598,0.1074,0.0342
0.6858,1.5232,0.6322,17.1322,0.72,0.43,0.4754,0.0533,0.0635,0.1122,0.0374
